iter	Passed	Remaining
0	1	107
1	1	95
2	2	91
3	3	81
4	4	83
5	5	83
6	6	81
7	6	79
8	7	80
9	8	78
10	9	77
11	10	76
12	11	75
13	12	76
14	13	75
15	14	73
16	14	72
17	15	70
18	16	70
19	17	69
20	18	69
21	19	68
22	19	66
23	20	65
24	21	64
25	22	63
26	23	63
27	24	62
28	25	62
29	26	61
30	27	60
31	27	58
32	28	57
33	29	57
34	30	56
35	31	55
36	32	55
37	33	53
38	33	52
39	34	52
40	35	51
41	36	49
42	37	49
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	43
49	43	43
50	43	42
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
